Service,Port,Protocol,Description
unknown,45631,unknown,Unassigned
unknown,45632,unknown,Unassigned
unknown,45633,unknown,Unassigned
unknown,45634,unknown,Unassigned
unknown,45635,unknown,Unassigned
unknown,45636,unknown,Unassigned
unknown,45637,unknown,Unassigned
unknown,45638,unknown,Unassigned
unknown,45639,unknown,Unassigned
unknown,45640,unknown,Unassigned
unknown,45641,unknown,Unassigned
unknown,45642,unknown,Unassigned
unknown,45643,unknown,Unassigned
unknown,45644,unknown,Unassigned
unknown,45645,unknown,Unassigned
unknown,45646,unknown,Unassigned
unknown,45647,unknown,Unassigned
unknown,45648,unknown,Unassigned
unknown,45649,unknown,Unassigned
unknown,45650,unknown,Unassigned
unknown,45651,unknown,Unassigned
unknown,45652,unknown,Unassigned
unknown,45653,unknown,Unassigned
unknown,45654,unknown,Unassigned
unknown,45655,unknown,Unassigned
unknown,45656,unknown,Unassigned
unknown,45657,unknown,Unassigned
unknown,45658,unknown,Unassigned
unknown,45659,unknown,Unassigned
unknown,45660,unknown,Unassigned
unknown,45661,unknown,Unassigned
